Ягешев Сидор
Яглинцев Владислав
Апалков Ростислав
Колиух Вацлав
Ядренкин Елисей
Шерков Артемий
Хованский Платон
Неелов Федор
Калугер Вениамин
Лобан Эммануил
Яньков Эрнест
Александрович Викентий
Карявин Ерофей
Корявин Илья
Ямщиков Леонид
Баскаков Егор
Рождественский Ян
Булдаков Евсей
Седегов Варфоломей
Пугачёв Лукьян
Кубышкин Трофим
Гавшин Онисим
Яржемковский Дмитрий
Янко Петр
Сияница Олег
Борисюк Саввелий
Травников Ипатий
Ерохин Павел
Раскатов Вадим
Разумов Феофан
Лужков Назар
Вельдин Вячеслав
Яснов Онуфрий
Касимов Прокофий
Ажищенков Фома
Столяров Авдей
Федченков Константин
Шамило Лаврентий
Геремеш Георгий
Кизюрин Евграф
Чубаров Еремей
Яблоновский Юлий
Серов Яков
Дьячков Мирон
Матеров Данил
Гурин Фока
Панькив Поликарп
Киселев Александр
Махов Валентин
Чечуров Радион
